Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
NomNom v HeadHunter v Noodle v Hot Soup,28,10,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,29,50,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,30,7,4,Lost head-to-head with NomNom,N,1,
,,,,,,,
,avg turn #,86.97222222,13.85555556,avg length,,72,total kills
,,57.82,8.58,,,0.48,average # kills
,,,,,win/loss/tie,,
,,,,,T,21,
,,,,,Y,24,
,,,,,N,105,
